minutes_remaining,period,playoffs,shot_distance,lat_quadra,lon_quadra,shot_made_flag
5,1,False,20,-0.13799999999999812,0.1560000000000059,1.0
1,4,False,0,0.0,0.0,1.0
4,1,False,20,-0.2010000000000005,-0.0589999999999975,1.0
2,1,False,12,-0.07699999999999818,-0.09799999999999898,1.0
6,3,False,15,-0.012000000000000455,-0.15399999999999636,1.0
7,4,False,7,-0.006999999999997897,-0.07699999999999818,1.0
4,2,False,4,-0.04200000000000159,-0.006999999999990791,1.0
8,3,False,16,-0.142000000000003,0.09100000000000819,1.0
10,4,False,15,-0.08500000000000085,-0.125,0.0
1,2,False,3,-0.03900000000000148,0.0040000000000048885,0.0
10,2,False,13,-0.0020000000000024443,0.13700000000000045,0.0
1,4,False,2,-0.0030000000000001137,0.023000000000010346,1.0
1,2,False,8,0.005000000000002558,0.08100000000000307,0.0
5,3,False,5,-0.05100000000000193,-0.012999999999991019,0.0
4,2,False,19,-0.1839999999999975,-0.0660000000000025,1.0
7,1,False,0,0.0,0.0,0.0
2,2,False,17,-0.0009999999999976694,-0.17399999999999238,0.0
5,2,False,9,-0.08899999999999864,-0.028999999999996362,1.0
10,2,False,1,-0.015999999999998238,-0.000999999999990564,1.0
5,4,False,2,-0.006000000000000227,-0.02400000000000091,0.0
10,3,False,0,0.0,0.0,0.0
2,1,False,0,0.0,0.0,0.0
0,1,False,0,0.0,0.0,1.0
6,2,True,14,-0.10199999999999676,-0.09999999999999432,0.0
7,3,False,14,-0.009000000000000341,-0.14499999999999602,0.0
6,1,True,5,-0.05299999999999727,-0.006999999999990791,0.0
3,4,False,6,-0.0519999999999996,0.045000000000001705,0.0
0,4,False,0,0.0,0.0,1.0
2,4,False,7,-0.07200000000000273,0.0,0.0
9,3,False,15,-0.09899999999999665,-0.11299999999999955,0.0
6,4,False,15,-0.04800000000000182,0.14300000000000068,0.0
4,1,False,9,-0.03999999999999915,0.08299999999999841,1.0
3,1,True,0,0.0,0.0,1.0
5,2,False,15,-0.142000000000003,0.07000000000000739,0.0
9,4,False,4,-0.017000000000003013,0.046999999999997044,1.0
0,2,False,17,-0.08400000000000318,0.15400000000001057,1.0
3,1,False,0,0.0,0.0,1.0
2,1,False,11,0.0030000000000001137,-0.10999999999999943,1.0
10,1,False,11,-0.02599999999999625,-0.10699999999999932,0.0
7,4,False,18,-0.16899999999999693,0.08400000000000318,1.0
2,3,False,0,0.0,0.0,1.0
10,3,False,16,-0.08500000000000085,-0.14399999999999125,1.0
5,2,False,15,-0.009000000000000341,0.15100000000001046,1.0
4,2,True,19,-0.06400000000000006,-0.18599999999999284,0.0
0,4,False,18,-0.1670000000000016,0.0799999999999983,1.0
0,5,False,7,-0.01899999999999835,0.06799999999999784,0.0
10,2,False,17,-0.14300000000000068,0.1039999999999992,0.0
7,1,False,17,-0.11999999999999744,0.132000000000005,1.0
0,4,False,19,-0.1700000000000017,0.09900000000000375,0.0
9,1,False,14,-0.07099999999999795,0.13000000000000966,1.0
0,4,False,0,0.0,0.0,1.0
4,1,False,2,-0.006999999999997897,0.020000000000010232,0.0
10,3,False,0,0.0,0.0,1.0
6,1,False,0,0.0,0.0,1.0
0,1,False,16,-0.015000000000000568,-0.1629999999999967,0.0
1,3,False,0,0.0,0.0,1.0
1,2,False,8,-0.0799999999999983,-0.027000000000001023,1.0
8,3,False,19,-0.19400000000000261,-0.0049999999999954525,0.0
3,1,False,18,-0.16899999999999693,-0.08400000000000318,0.0
1,1,False,16,-0.09599999999999653,0.13000000000000966,0.0
